date,data,time
172.720001,2016-5-15,22
166.580002,2016-5-15,23
166.869995,2016-5-16,00
172.929993,2016-5-16,01
170.690002,2016-5-16,02
168.789993,2016-5-16,03
176.369995,2016-5-16,04
180.419998,2016-5-16,05
183.589996,2016-5-16,06
0.5,2016-5-16,07
174.419998,2016-5-16,08
0.0,2016-5-16,09
0.0,2016-5-16,10
0.0,2016-5-16,11
0.150000006,2016-5-16,12
0.0,2016-5-16,13
4.01999998,2016-5-16,14
0.0,2016-5-16,15
0.0,2016-5-16,16
0.0,2016-5-16,17
174.699997,2016-5-16,18
175.889999,2016-5-16,19
175.820007,2016-5-16,20
175.610001,2016-5-16,21
173.139999,2016-5-16,22
0.0,2016-5-16,23
163.619995,2016-5-17,00
165.389999,2016-5-17,01
166.800003,2016-5-17,02
0.0,2016-5-17,03
170.679993,2016-5-17,04
0.0,2016-5-17,05
172.169998,2016-5-17,06
172.520004,2016-5-17,07
181.419998,2016-5-17,08
0.0,2016-5-17,09
0.219999999,2016-5-17,10
0.25999999,2016-5-17,11
194.570007,2016-5-17,12
200.580002,2016-5-17,13
0.959999979,2016-5-17,14
187.130005,2016-5-17,15
179.539993,2016-5-17,16
186.270004,2016-5-17,17
180.190002,2016-5-17,18
186.490005,2016-5-17,19
0.620000005,2016-5-17,20
180.029999,2016-5-17,21
187.279999,2016-5-17,22
186.330002,2016-5-17,23
185.619995,2016-5-18,00
182.619995,2016-5-18,01
185.839996,2016-5-18,02
184.759995,2016-5-18,03
0.209999993,2016-5-18,04
176.600006,2016-5-18,05
0.0,2016-5-18,06
161.309998,2016-5-18,07
159.080002,2016-5-18,08
155.880005,2016-5-18,09
151.919998,2016-5-18,10
153.089996,2016-5-18,11
153.339996,2016-5-18,12
0.0,2016-5-18,13
154.630005,2016-5-18,14
149.220001,2016-5-18,15
0.0,2016-5-18,16
142.179993,2016-5-18,17
141.009995,2016-5-18,18
139.880005,2016-5-18,19
131.770004,2016-5-18,20
142.539993,2016-5-18,21
129.660004,2016-5-18,22
132.929993,2016-5-18,23
129.800003,2016-5-19,00
123.449997,2016-5-19,01
124.629997,2016-5-19,02
124.970001,2016-5-19,03
128.690002,2016-5-19,04
131.130005,2016-5-19,05
130.649994,2016-5-19,06
126.389999,2016-5-19,07
108.43,2016-5-19,08
109.339996,2016-5-19,09
117.129997,2016-5-19,10
126.519997,2016-5-19,11
126.5,2016-5-19,12
125.889999,2016-5-19,13
131.429993,2016-5-19,14
125.839996,2016-5-19,15
132.119995,2016-5-19,16
132.600006,2016-5-19,17
135.800003,2016-5-19,18
134.259995,2016-5-19,19
134.190002,2016-5-19,20
124.610001,2016-5-19,21
133.179993,2016-5-19,22
136.919998,2016-5-19,23
115.809998,2016-5-20,00
113.769997,2016-5-20,01
