date,data,time
6.92000008,2016-5-16,02
7.07000017,2016-5-16,03
6.55999994,2016-5-16,04
6.44000006,2016-5-16,05
7.11999989,2016-5-16,06
6.11000013,2016-5-16,07
7.55999994,2016-5-16,08
7.05000019,2016-5-16,09
7.88000011,2016-5-16,10
6.57000017,2016-5-16,11
6.92000008,2016-5-16,12
8.56000042,2016-5-16,13
8.32999992,2016-5-16,14
8.92000008,2016-5-16,15
7.67000008,2016-5-16,16
8.06000042,2016-5-16,17
6.69000006,2016-5-16,18
6.73000002,2016-5-16,19
6.59000015,2016-5-16,20
7.26999998,2016-5-16,21
6.34000015,2016-5-16,22
5.96000004,2016-5-16,23
6.32999992,2016-5-17,00
6.73000002,2016-5-17,01
7.23999977,2016-5-17,02
6.76999998,2016-5-17,03
5.75,2016-5-17,04
6.01000023,2016-5-17,05
6.17999983,2016-5-17,06
6.71999979,2016-5-17,07
6.28000021,2016-5-17,08
6.67999983,2016-5-17,09
5.55000019,2016-5-17,10
6.05000019,2016-5-17,11
8.35000038,2016-5-17,12
7.94999981,2016-5-17,13
8.75,2016-5-17,14
8.61999989,2016-5-17,15
7.71999979,2016-5-17,16
8.97999954,2016-5-17,17
8.0,2016-5-17,18
7.28999996,2016-5-17,19
7.19999981,2016-5-17,20
5.36000013,2016-5-17,21
5.88999987,2016-5-17,22
5.73999977,2016-5-17,23
5.21999979,2016-5-18,00
5.51000023,2016-5-18,01
6.13999987,2016-5-18,02
6.1500001,2016-5-18,03
6.28000021,2016-5-18,04
6.4000001,2016-5-18,05
6.3499999,2016-5-18,06
6.73999977,2016-5-18,07
6.46999979,2016-5-18,08
7.25,2016-5-18,09
7.3499999,2016-5-18,10
7.17000008,2016-5-18,11
8.77000046,2016-5-18,12
7.94999981,2016-5-18,13
8.11999989,2016-5-18,14
8.46000004,2016-5-18,15
6.42000008,2016-5-18,16
8.19999981,2016-5-18,17
7.15999985,2016-5-18,18
5.69000006,2016-5-18,19
5.71999979,2016-5-18,20
6.67000008,2016-5-18,21
6.28000021,2016-5-18,22
6.76000023,2016-5-18,23
6.1500001,2016-5-19,00
5.63000011,2016-5-19,01
5.51000023,2016-5-19,02
5.26000023,2016-5-19,03
5.57999992,2016-5-19,04
5.59000015,2016-5-19,05
5.1500001,2016-5-19,06
5.42000008,2016-5-19,07
5.82000017,2016-5-19,08
5.5,2016-5-19,09
7.46999979,2016-5-19,10
6.42000008,2016-5-19,11
7.71999979,2016-5-19,12
8.11999989,2016-5-19,13
8.38000011,2016-5-19,14
8.21000004,2016-5-19,15
8.09000015,2016-5-19,16
8.23999977,2016-5-19,17
8.15999985,2016-5-19,18
8.5,2016-5-19,19
6.92000008,2016-5-19,20
5.5,2016-5-19,21
5.21999979,2016-5-19,22
4.6500001,2016-5-19,23
6.23999977,2016-5-20,00
4.69000006,2016-5-20,01
4.71000004,2016-5-20,02
5.48000002,2016-5-20,03
5.05000019,2016-5-20,04
4.75,2016-5-20,05
4.28999996,2016-5-20,06
7.09000015,2016-5-20,07
7.07999992,2016-5-20,08
5.65999985,2016-5-20,09
6.67000008,2016-5-20,10
5.6500001,2016-5-20,11
5.3499999,2016-5-20,12
6.21000004,2016-5-20,13
7.55000019,2016-5-20,14
6.32999992,2016-5-20,15
7.46000004,2016-5-20,16
7.48000002,2016-5-20,17
7.21999979,2016-5-20,18
6.11000013,2016-5-20,19
5.55999994,2016-5-20,20
5.84000015,2016-5-20,21
5.21000004,2016-5-20,22
