date,data,time
27.9799995,2016-6-2,21
28.5300007,2016-6-2,22
28.2299995,2016-6-2,23
28.1800003,2016-6-3,00
28.0300007,2016-6-3,01
28.2199993,2016-6-3,02
28.1200008,2016-6-3,03
27.7000008,2016-6-3,04
27.8600006,2016-6-3,05
26.1299992,2016-6-3,06
26.8700008,2016-6-3,07
28.3999996,2016-6-3,08
28.0200005,2016-6-3,09
29.5400009,2016-6-3,10
29.7000008,2016-6-3,11
29.7299995,2016-6-3,12
29.7099991,2016-6-3,13
29.4200001,2016-6-3,14
28.7299995,2016-6-3,15
30.1399994,2016-6-3,16
29.7399998,2016-6-3,17
30.4400005,2016-6-3,18
29.4899998,2016-6-3,19
28.5699997,2016-6-3,20
30.2199993,2016-6-3,21
28.6200008,2016-6-3,22
28.1900005,2016-6-3,23
30.3999996,2016-6-4,00
28.2299995,2016-6-4,01
30.0599995,2016-6-4,02
28.0599995,2016-6-4,03
28.9099998,2016-6-4,04
29.7000008,2016-6-4,05
30.3099995,2016-6-4,06
30.2900009,2016-6-4,07
30.2199993,2016-6-4,08
30.8500004,2016-6-4,09
27.7999992,2016-6-4,10
30.8299999,2016-6-4,11
30.6800003,2016-6-4,12
31.4400005,2016-6-4,13
31.5300007,2016-6-4,14
32.6699982,2016-6-4,15
34.0200005,2016-6-4,16
33.4500008,2016-6-4,17
34.4199982,2016-6-4,18
32.9099998,2016-6-4,19
32.2599983,2016-6-4,20
31.6700001,2016-6-4,21
31.9300003,2016-6-4,22
31.9099998,2016-6-4,23
32.0299988,2016-6-5,00
31.6100006,2016-6-5,01
32.1599998,2016-6-5,02
32.3400002,2016-6-5,03
32.4900017,2016-6-5,04
33.5,2016-6-5,05
32.9099998,2016-6-5,06
33.6500015,2016-6-5,07
33.5,2016-6-5,08
34.0400009,2016-6-5,09
34.4900017,2016-6-5,10
34.2200012,2016-6-5,11
35.5800018,2016-6-5,12
35.2000008,2016-6-5,13
31.4300003,2016-6-5,14
33.0600014,2016-6-5,15
35.7400017,2016-6-5,16
35.5800018,2016-6-5,17
33.5200005,2016-6-5,18
33.9099998,2016-6-5,19
32.9199982,2016-6-5,20
33.2099991,2016-6-5,21
33.1399994,2016-6-5,22
33.7400017,2016-6-5,23
33.3699989,2016-6-6,00
33.75,2016-6-6,01
33.7299995,2016-6-6,02
33.6100006,2016-6-6,03
32.8400002,2016-6-6,04
33.9500008,2016-6-6,05
35.4000015,2016-6-6,06
35.0,2016-6-6,07
34.9500008,2016-6-6,08
33.6100006,2016-6-6,09
35.6300011,2016-6-6,10
36.7900009,2016-6-6,11
37.5600014,2016-6-6,12
38.6699982,2016-6-6,13
37.7000008,2016-6-6,14
39.8199997,2016-6-6,15
39.9599991,2016-6-6,16
39.7299995,2016-6-6,17
38.4300003,2016-6-6,18
35.2999992,2016-6-6,19
35.1500015,2016-6-6,20
37.5299988,2016-6-6,21
37.5400009,2016-6-6,22
37.7099991,2016-6-6,23
37.7799988,2016-6-7,00
37.2900009,2016-6-7,01
37.0400009,2016-6-7,02
36.1300011,2016-6-7,03
37.3100014,2016-6-7,06
37.3400002,2016-6-7,07
36.7400017,2016-6-7,08
35.0400009,2016-6-7,09
34.8800011,2016-6-7,10
35.3699989,2016-6-7,11
35.8800011,2016-6-7,12
36.1199989,2016-6-7,13
35.7299995,2016-6-7,14
36.5999985,2016-6-7,15
37.0699997,2016-6-7,16
33.6800003,2016-6-7,17
35.2700005,2016-6-7,18
33.8100014,2016-6-7,19
33.1199989,2016-6-7,20
33.3600006,2016-6-7,21
33.7299995,2016-6-7,22
32.8899994,2016-6-7,23
33.0999985,2016-6-8,00
34.6500015,2016-6-8,01
34.7200012,2016-6-8,02
34.6800003,2016-6-8,03
34.1100006,2016-6-8,04
34.4300003,2016-6-8,05
35.75,2016-6-8,06
34.5299988,2016-6-8,07
34.5400009,2016-6-8,08
34.8800011,2016-6-8,09
35.25,2016-6-8,10
35.2700005,2016-6-8,11
35.1300011,2016-6-8,12
34.75,2016-6-8,13
36.6300011,2016-6-8,14
37.0400009,2016-6-8,15
37.7099991,2016-6-8,16
36.8400002,2016-6-8,17
36.5699997,2016-6-8,18
35.9700012,2016-6-8,19
36.0200005,2016-6-8,20
36.4199982,2016-6-8,21
36.4300003,2016-6-8,22
35.6599998,2016-6-8,23
36.0099983,2016-6-9,00
36.5,2016-6-9,01
37.0900002,2016-6-9,02
35.8600006,2016-6-9,03
36.4500008,2016-6-9,04
37.6500015,2016-6-9,05
39.2299995,2016-6-9,06
38.9099998,2016-6-9,07
38.6199989,2016-6-9,08
38.5999985,2016-6-9,09
38.9199982,2016-6-9,10
39.5099983,2016-6-9,11
39.3400002,2016-6-9,12
39.4399986,2016-6-9,13
40.6599998,2016-6-9,14
40.6199989,2016-6-9,15
41.1800003,2016-6-9,16
40.6599998,2016-6-9,17
40.4000015,2016-6-9,18
